"dht11_umidade";"dht11_temperatura";"luminosidade";"lm35_temperatura";"chave"
56.0;26.6;825.0;18.54;0
56.0;26.6;810.0;26.35;0
56.0;26.6;810.0;26.84;0
56.0;26.6;825.0;26.35;0
55.0;26.6;798.0;32.21;0
55.0;26.6;819.0;18.06;0
55.0;26.6;832.0;19.03;0
55.0;26.6;824.0;26.35;0
55.0;26.6;840.0;25.86;0
55.0;26.6;819.0;18.54;0
56.0;26.6;839.0;18.54;0
56.0;26.6;834.0;27.33;0
56.0;26.6;830.0;18.54;0
56.0;26.6;848.0;27.33;0
56.0;26.6;822.0;25.86;0
56.0;26.6;844.0;19.03;0
56.0;26.6;835.0;29.28;0
56.0;26.6;834.0;19.03;0
56.0;26.6;847.0;18.54;0
56.0;26.6;826.0;25.86;0
56.0;26.6;850.0;28.79;0
56.0;26.6;825.0;25.86;0
57.0;26.6;849.0;27.82;0
57.0;26.6;838.0;19.52;0
57.0;26.6;841.0;19.03;0
57.0;26.6;849.0;27.82;0
57.0;26.6;829.0;27.33;0
57.0;26.6;851.0;19.03;0
56.0;26.6;827.0;27.33;0
56.0;26.6;846.0;19.03;0
56.0;26.6;840.0;19.03;0
56.0;26.6;836.0;27.82;0
56.0;26.6;850.0;27.82;0
56.0;26.6;827.0;25.38;0
56.0;26.6;851.0;28.3;0
56.0;26.6;834.0;19.03;0
56.0;26.6;842.0;26.35;0
56.0;26.6;848.0;19.03;0
56.0;26.6;830.0;19.03;0
56.0;26.6;852.0;29.28;0
56.0;26.6;827.0;27.33;0
56.0;26.6;846.0;27.82;0
56.0;26.6;843.0;27.33;0
56.0;26.6;834.0;19.03;0
56.0;26.6;851.0;19.52;0
56.0;26.6;827.0;27.33;0
56.0;26.6;846.0;19.03;0
56.0;26.6;844.0;26.35;0
56.0;26.6;832.0;27.82;0
56.0;26.6;852.0;19.52;0
56.0;26.6;827.0;25.86;0
56.0;26.6;847.0;19.03;0
56.0;26.6;842.0;19.03;0
56.0;26.6;835.0;28.3;0
56.0;26.6;851.0;28.79;0
56.0;26.6;826.0;25.86;0
56.0;26.6;849.0;27.82;0
56.0;26.6;833.0;19.03;0
56.0;26.6;844.0;28.3;0
56.0;26.6;847.0;19.03;0
56.0;26.6;834.0;20.01;0
56.0;26.6;854.0;27.82;0
56.0;26.6;829.0;26.35;0
56.0;26.6;851.0;28.3;0
56.0;26.6;839.0;29.28;0
56.0;26.6;843.0;19.03;0
57.0;26.6;850.0;19.03;0
57.0;26.6;835.0;26.84;0
57.0;26.6;854.0;28.79;0
57.0;26.6;830.0;28.79;0
56.0;26.6;853.0;29.28;0
56.0;26.6;837.0;19.03;0
56.0;26.6;847.0;19.03;0
56.0;26.6;851.0;28.79;0
56.0;26.6;836.0;19.52;0
56.0;26.6;789.0;28.79;0
56.0;26.6;794.0;30.74;1
56.0;26.6;806.0;26.35;1
56.0;26.6;821.0;19.03;1
56.0;26.6;812.0;19.03;1
56.0;26.6;815.0;18.54;1
56.0;26.6;812.0;37.09;1
56.0;26.6;817.0;18.54;1
56.0;26.6;811.0;18.54;1
56.0;26.6;816.0;18.54;1
56.0;26.6;812.0;18.54;1
56.0;26.6;817.0;18.54;1
56.0;26.6;814.0;18.54;1
56.0;26.6;816.0;18.54;1
56.0;26.6;815.0;18.54;1
56.0;26.6;822.0;18.54;1
